DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DU,SECTOR,CARRIER,DL_GTP_Data_Volume_RN_MB,ENDC_Sessions_RN,Intra_CU_HO_Attempts_RN,Intra_CU_HO_Success_RN,Intra_CU_HO_Success_Rate_RN_%,Max_ENDC_Sessions_RN,SgNB_Modification_Attempts_RN,SgNB_Modification_Success_RN,SgNB_Modification_Success_Rate_RN_%,UL_GTP_Data_Volume_RN_MB,Attach_Success_rate_%_RN,Attach_Success_RN_Num,Attach_Success_RN_Den,Drop_rate_%_RN,Drop_RN_Num,Drop_RN_Den,DL_Tput_RN_Mbps,UL_Tput_RN_Mbps,UL_TTI_Util_Rate_%_RN,DL_TTI_Util_Rate_%_RN,DL_HARQ_Residual_BLER_%_RN,UL_HARQ_Residual_BLER_%_RN,Cell_Availability_RN,COR_NSA_Cell_Availability,COR_NSA_Cell_NumOf_ENDC_sessions,COR_NSA_Cell_X2AP_SgNBAddRqst,COR_NSA_Cell_DL_Avg_DUu_GTP_TPT,COR_NSA_Cell_DL_Avg_S1U_GTP_TPT
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_WEWORK_IRVINE,0470011,0011,0011,01,0,16,0,0,NaN,4,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,16,0,0,0
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_WEWORK_IRVINE,0470011,0012,0012,01,0,4,0,0,NaN,1,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,4,0,0,0
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_WEWORK_IRVINE,0470011,0013,0013,01,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,0,0,0,0
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_WEWORK_IRVINE,0470011,0014,0014,01,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,0,0,0,0
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_WEWORK_IRVINE,0470011,0015,0015,01,0,20,0,0,NaN,5,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,20,0,0,0
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_WEWORK_IRVINE,0470011,0016,0016,01,0,12,0,0,NaN,3,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,12,0,0,0
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_WEWORK_IRVINE,0470011,0017,0017,01,0,16,0,0,NaN,4,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,16,0,0,0
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_WEWORK_IRVINE,0470011,0018,0018,01,0,4,0,0,NaN,1,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,4,0,0,0
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_WEWORK_IRVINE,0470011,0019,0019,01,0,16,0,0,NaN,4,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,16,0,0,0
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_WEWORK_IRVINE,0470011,0020,0020,01,0,12,0,0,NaN,3,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,12,0,0,0
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_WEWORK_IRVINE,0470011,0021,0021,01,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,0,0,0,0
10/06/2025,22,ICL 1,S. California,047,South Orange County,VIST,0470030,0000,0001,01,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,0,0,0,0
10/06/2025,22,ICL 1,S. California,047,South Orange County,VIST,0470030,0000,0002,01,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,0,0,0,0
Total,*,*,*,*,*,*,*,*,*,*,3391.33,326,2732,2700,98.83,17,2005,2005,100,11574.72,99.88,7703,7712,0.94,70,7420,19.52,20.5,2.56,0.78,2.57,0.19,100,5200.0,326.0,7712.0,31609.52,31482.83
