Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'AUPF.CpuUsageAvg.percent','AUPF.CpuUsageMax.percent','AUPF.CpuUsageMin.percent','AUPF.DiskUsageAvg.percent','AUPF.DiskUsageMax.percent','AUPF.DiskUsageMin.percent','AUPF.MemUsageAvg.percent','AUPF.MemUsageMax.percent','AUPF.MemUsageMin.percent','AUPF.MemUsageTot.number','AUPF.DiskUsageTot.number','AUPF.CpuUsageTot.number','AUPF.DiskUsageCnt.number','AUPF.InThruPeak_VM.number','AUPF.OutThruPeak_VM.number'
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-00,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,0.01,0
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-01,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,3640.78,3652.74
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-01,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,3396.87,3410.64
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-01,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,1.58,3.33
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-01,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,0.01,0
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-02,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,3666.61,3670.29
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-02,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,3578.34,3577.43
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-02,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,1.43,4.6
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-02,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,0.01,0
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-03,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,3284.77,3268.57
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-03,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,3466.67,3494.26
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-03,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,1.35,4.78
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-03,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,0.01,0
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-04,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,3419.88,3391.87
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-04,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,3490.16,3496.15
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-04,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,1.31,10.08
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-04,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,0.01,0
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UIC-01,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,2.13,1.59
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UIC-01,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,0,0
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UIC-01,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,2.58,2.78
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UIC-01,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,0,0
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UMC-01,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,11.93,5.88
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UMC-01,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,0,0
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UMC-01,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,0.11,11.59
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-00,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,2383.83,2384.79
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-00,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,2425.04,2439.58
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-00,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,1.04,2.85
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-00,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,0.26,0.26
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-01,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,2329.78,2349.42
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-01,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,2737.73,2746.56
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-01,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,1.09,2.04
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-01,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,0,0
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-02,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,2473.8,2479.27
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-02,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,2251.32,2243.89
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-02,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,1.08,2
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-02,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,0.33,0.31
