"KpiResourcePropID","KpiResourceRelMbrID","PropNameExpr","PropValueExpr","CreatedDte","UpdatedDte","KpiResourceTypeID","created","updated"
9484,8709,Domain,Domain,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9485,8709,domainType,domainType,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9486,8709,NFName,NFName,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9487,8709,NFType,NFType,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9488,8709,interval,interval,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9489,8710,displayName,deviceName,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9490,8710,Market,Market,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9491,8710,Region,Region,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9492,8710,technology,technology,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9493,8710,version,version,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9494,8710,Site,Site,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9495,8710,Domain,Domain,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9496,8710,domainType,domainType,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9497,8710,NFName,NFName,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9498,8710,NFType,NFType,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9499,8710,interval,interval,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9500,8711,displayName,deviceName,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9501,8711,Market,Market,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9502,8711,Region,Region,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9503,8711,technology,technology,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9504,8711,version,version,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9505,8711,Site,Site,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9506,8711,Domain,Domain,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9507,8711,domainType,domainType,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9508,8711,NFName,NFName,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9509,8711,NFType,NFType,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9510,8711,interval,interval,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9511,8712,displayName,deviceName,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9512,8712,Market,Market,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9513,8712,Region,Region,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9514,8712,technology,technology,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9515,8712,version,version,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9516,8712,Site,Site,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9517,8712,Domain,Domain,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9518,8712,domainType,domainType,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9519,8712,NFName,NFName,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9520,8712,NFType,NFType,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9521,8712,interval,interval,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9522,8713,displayName,deviceName,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9523,8713,Market,Market,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9524,8713,Region,Region,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9525,8713,technology,technology,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9526,8713,version,version,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
