Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'Ericsson5GCarrier.pmEndcSetupUeAtt','Ericsson5GCarrier.EBSN_NSA_FWA_DL_UE_MAC_Throughput_Mbps','Ericsson5GCarrier.EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB','Ericsson5GCarrier.EBSN_ENDC_Peak_UE_FWA_Spid125','Ericsson5GCarrier.EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB_pct_of_Total','Ericsson5GCarrier.5GNR_ENDC_Drop_pct','Ericsson5GCarrier.5GNR_ENDC_Drop_Num','Ericsson5GCarrier.5GNR_ENDC_Drop_Den','Ericsson5GCarrier.5GNR_Cell_Availability_pct','Ericsson5GCarrier.5GNR_RACH_Msg3_Failure_pct','Ericsson5GCarrier.5GNR_RACH_Msg3_Failure_pct_Num','Ericsson5GCarrier.5GNR_RACH_Msg3_Failure_pct_Den','Ericsson5GCarrier.5GNR_DL_MAC_Volume_MB'
143,Florida,VCP Far Edge,NR,,,1437074_0001_0004_11,2025-09-27T06:00:00-04:00,3600,36,86.23,18.64,1,27.31,0,0,35,100,49.38,40,81,70.36
143,Florida,VCP Far Edge,NR,,,1437393_0001_0001_10,2025-09-27T06:00:00-04:00,3600,73,276.25,74.62,3,1.65,3.75,3,80,100,34.02,345,1014,4690.12
143,Florida,VCP Far Edge,NR,,,1437393_0001_0001_11,2025-09-27T06:00:00-04:00,3600,49,110.95,767.56,7,99.43,1.96,1,51,100,43.97,62,141,806.54
143,Florida,VCP Far Edge,NR,,,1437393_0001_0002_10,2025-09-27T06:00:00-04:00,3600,201,154.77,1266.05,5,15.45,0.56,1,179,100,18.08,328,1814,8526.53
143,Florida,VCP Far Edge,NR,,,1437393_0001_0002_11,2025-09-27T06:00:00-04:00,3600,24,NaN,0,0,0,0,0,28,100,25.44,58,228,216.26
143,Florida,VCP Far Edge,NR,,,1437393_0001_0003_10,2025-09-27T06:00:00-04:00,3600,641,420.38,3868,15,34.04,0.46,3,649,100,31.08,576,1853,12323.2
143,Florida,VCP Far Edge,NR,,,1437393_0001_0003_11,2025-09-27T06:00:00-04:00,3600,134,109.05,2858.11,8,64.96,0,0,134,100,31.62,92,291,3769.89
143,Florida,VCP Far Edge,NR,,,1437047_0001_0001_01,2025-09-27T06:00:00-04:00,3600,0,NaN,0,0,NaN,NaN,0,0,0,NaN,0,0,0
143,Florida,VCP Far Edge,NR,,,1437047_0001_0001_04,2025-09-27T06:00:00-04:00,3600,0,NaN,0,0,NaN,NaN,0,0,0,NaN,0,0,0
143,Florida,VCP Far Edge,NR,,,1437047_0001_0001_10,2025-09-27T06:00:00-04:00,3600,325,146.56,3187.19,8,39.23,0.93,3,321,100,36.2,622,1718,8084.8
143,Florida,VCP Far Edge,NR,,,1437047_0001_0001_11,2025-09-27T06:00:00-04:00,3600,18,98.96,1718.28,4,87.28,0,0,19,100,37.71,66,175,2270.85
143,Florida,VCP Far Edge,NR,,,1437047_0001_0002_01,2025-09-27T06:00:00-04:00,3600,0,NaN,0,0,NaN,NaN,0,0,0,NaN,0,0,0
143,Florida,VCP Far Edge,NR,,,1437047_0001_0002_04,2025-09-27T06:00:00-04:00,3600,0,NaN,0,0,NaN,NaN,0,0,0,NaN,0,0,0
143,Florida,VCP Far Edge,NR,,,1437047_0001_0002_10,2025-09-27T06:00:00-04:00,3600,894,213.52,770.08,16,9.92,5.03,44,874,100,33.88,1662,4905,8163.19
143,Florida,VCP Far Edge,NR,,,1437047_0001_0002_11,2025-09-27T06:00:00-04:00,3600,571,155.73,324.62,12,22.89,0.54,3,551,100,29.03,353,1216,1332.31
143,Florida,VCP Far Edge,NR,,,1437047_0001_0003_01,2025-09-27T06:00:00-04:00,3600,0,NaN,0,0,NaN,NaN,0,0,0,NaN,0,0,0
143,Florida,VCP Far Edge,NR,,,1437047_0001_0003_04,2025-09-27T06:00:00-04:00,3600,0,NaN,0,0,NaN,NaN,0,0,0,NaN,0,0,0
143,Florida,VCP Far Edge,NR,,,1437047_0001_0003_10,2025-09-27T06:00:00-04:00,3600,251,307.22,5433.3,12,92.52,0.4,1,248,100,31.83,219,688,5840.9
143,Florida,VCP Far Edge,NR,,,1437047_0001_0003_11,2025-09-27T06:00:00-04:00,3600,62,95.67,1723.84,6,98.5,0,0,65,100,40.91,72,176,1964.09
143,Florida,VCP Far Edge,NR,,,1437738_0001_0001_10,2025-09-27T06:00:00-04:00,3600,31,NaN,0,0,0,7.69,2,26,100,48.27,195,404,376.58
143,Florida,VCP Far Edge,NR,,,1437738_0001_0001_11,2025-09-27T06:00:00-04:00,3600,11,NaN,0,0,0,8.33,1,12,100,56.64,81,143,151.81
143,Florida,VCP Far Edge,NR,,,1437738_0001_0002_10,2025-09-27T06:00:00-04:00,3600,6,NaN,0,0,0,20,1,5,100,70.67,53,75,30.24
143,Florida,VCP Far Edge,NR,,,1437738_0001_0002_11,2025-09-27T06:00:00-04:00,3600,4,NaN,0,0,0,0,0,2,100,83.33,55,66,15.58
143,Florida,VCP Far Edge,NR,,,1437738_0001_0003_10,2025-09-27T06:00:00-04:00,3600,160,NaN,0,0,0,10.3,17,165,100,33.59,386,1149,1260.69
143,Florida,VCP Far Edge,NR,,,1437738_0001_0003_11,2025-09-27T06:00:00-04:00,3600,46,NaN,0,0,0,6.52,3,46,100,41.87,121,289,273.24
143,Florida,VCP Far Edge,NR,,,1437702_0001_0001_10,2025-09-27T06:00:00-04:00,3600,77,6.64,0.37,3,0.26,0,0,76,100,43.2,178,412,137.8
143,Florida,VCP Far Edge,NR,,,1437702_0001_0001_11,2025-09-27T06:00:00-04:00,3600,128,108.89,7.01,3,67.04,0,0,129,100,27.62,58,210,17.16
143,Florida,VCP Far Edge,NR,,,1437702_0001_0002_10,2025-09-27T06:00:00-04:00,3600,39,130.52,6.69,1,0.67,0,0,38,100,52.05,76,146,951.44
143,Florida,VCP Far Edge,NR,,,1437702_0001_0002_11,2025-09-27T06:00:00-04:00,3600,3,192.63,6.14,1,70.9,0,0,3,100,86.89,53,61,88.71
143,Florida,VCP Far Edge,NR,,,1437702_0001_0003_10,2025-09-27T06:00:00-04:00,3600,76,NaN,0.05,0,0.01,0,0,95,100,32.41,223,688,670.17
143,Florida,VCP Far Edge,NR,,,1437702_0001_0003_11,2025-09-27T06:00:00-04:00,3600,20,92.02,110.44,1,35.68,0,0,15,100,39.68,75,189,327.84
143,Florida,VCP Far Edge,NR,,,1437739_0001_0001_10,2025-09-27T06:00:00-04:00,3600,51,108.59,0.38,1,0.05,0,0,53,100,48,649,1352,814.62
143,Florida,VCP Far Edge,NR,,,1437739_0001_0001_11,2025-09-27T06:00:00-04:00,3600,7,NaN,0,0,0,7.69,1,13,100,67.91,146,215,165.38
143,Florida,VCP Far Edge,NR,,,1437739_0001_0002_10,2025-09-27T06:00:00-04:00,3600,54,30.52,1.58,1,0.52,5.41,2,37,100,54.63,1091,1997,309.23
143,Florida,VCP Far Edge,NR,,,1437739_0001_0002_11,2025-09-27T06:00:00-04:00,3600,18,NaN,0,0,0,0,0,15,100,61.52,227,369,76.56
143,Florida,VCP Far Edge,NR,,,1437739_0001_0003_10,2025-09-27T06:00:00-04:00,3600,39,NaN,0.87,1,0.18,3.03,1,33,100,26.35,156,592,478.23
143,Florida,VCP Far Edge,NR,,,1437739_0001_0003_11,2025-09-27T06:00:00-04:00,3600,6,NaN,0.84,1,2.18,0,0,5,100,72.73,24,33,48.73
143,Florida,VCP Far Edge,NR,,,1437740_0001_0001_10,2025-09-27T06:00:00-04:00,3600,220,NaN,0.3,1,0.01,1.92,4,208,100,35.81,1213,3387,4522.79
143,Florida,VCP Far Edge,NR,,,1437740_0001_0001_11,2025-09-27T06:00:00-04:00,3600,70,NaN,0,0,0,1.52,1,66,100,44.88,193,430,516.22
143,Florida,VCP Far Edge,NR,,,1437740_0001_0002_10,2025-09-27T06:00:00-04:00,3600,124,276.17,1.17,1,0.07,0,0,122,100,48.25,1034,2143,1987.05
143,Florida,VCP Far Edge,NR,,,1437740_0001_0002_11,2025-09-27T06:00:00-04:00,3600,18,NaN,0,0,0,4.76,1,21,100,53.4,165,309,358.54
143,Florida,VCP Far Edge,NR,,,1437740_0001_0003_10,2025-09-27T06:00:00-04:00,3600,149,293.32,1198.14,1,55.07,0,0,156,100,45.35,493,1087,2053.79
